s.no,Internal SKU,Product,Product description,Product Sub-Category,Phase,Battery Backup,Structure Height,Code,Code 2,DC Capacity (kWp),AC Capacity (kW),Sale Price(Without GST),Sale Price(With GST),Option,Category
1,SMA0Low(0.3m)1.32,SMA-1P-D01-3-A01-LR,On-Grid System / Poly Cells / Low Rise Structure,SMA,1Phase,0,Low(0.3m),,,1.32,1,85800,93436,Smart,OG
2,SMA0Low(0.3m)2.64,SMA-1P-D02-6-A02-LR,On-Grid System / Poly Cells / Low Rise Structure,SMA,1Phase,0,Low(0.3m),,,2.64,2,171600,186872,Smart,OG
3,SMA0Low(0.3m)3.96,SMA-1P-D04-0-A03-LR,On-Grid System / Poly Cells / Low Rise Structure,SMA,1Phase,0,Low(0.3m),,,3.96,3,232825,253547,Smart,OG
4,SMA0Low(0.3m)5.28,SMA-1P-D05-3-A04-LR,On-Grid System / Poly Cells / Low Rise Structure,SMA,1Phase,0,Low(0.3m),,,5.28,4,303837,330878,Smart,OG
5,SMA0Low(0.3m)6.61,SMA-3P-D06-6-A05-LR,On-Grid System / Poly Cells / Low Rise Structure,SMA,3Phase,0,Low(0.3m),,,6.61,5,373400,406633,Smart,OG
6,SMA0Low(0.3m)7.92,SMA-3P-D07-9-A06-LR,On-Grid System / Poly Cells / Low Rise Structure,SMA,3Phase,0,Low(0.3m),,,7.92,6,441809,481130,Smart,OG
7,SMA0Low(0.3m)10.56,SMA-3P-D10-6-A08-LR,On-Grid System / Poly Cells / Low Rise Structure,SMA,3Phase,0,Low(0.3m),,,10.56,8,575885,627139,Smart,OG
8,SMA0Low(0.3m)13.21,SMA-3P-D13-2-A10-LR,On-Grid System / Poly Cells / Low Rise Structure,SMA,3Phase,0,Low(0.3m),,,13.21,10,707064,769993,Smart,OG
9,SMA0High(2.5m)1.32,SMA-1P-D01-3-A01-HR,On-Grid System / Poly Cells / High Rise Structure,SMA,1Phase,0,High(2.5m),,,1.32,1,97680,106374,Smart,OG
10,SMA0High(2.5m)2.64,SMA-1P-D02-6-A02-HR,On-Grid System / Poly Cells / High Rise Structure,SMA,1Phase,0,High(2.5m),,,2.64,2,195360,212747,Smart,OG
11,SMA0High(2.5m)3.96,SMA-1P-D04-0-A03-HR,On-Grid System / Poly Cells / High Rise Structure,SMA,1Phase,0,High(2.5m),,,3.96,3,268465,292359,Smart,OG
12,SMA0High(2.5m)5.28,SMA-1P-D05-3-A04-HR,On-Grid System / Poly Cells / High Rise Structure,SMA,1Phase,0,High(2.5m),,,5.28,4,351357,382628,Smart,OG
13,SMA0High(2.5m)6.61,SMA-3P-D06-6-A05-HR,On-Grid System / Poly Cells / High Rise Structure,SMA,3Phase,0,High(2.5m),,,6.61,5,432800,471319,Smart,OG
14,SMA0High(2.5m)7.92,SMA-3P-D07-9-A06-HR,On-Grid System / Poly Cells / High Rise Structure,SMA,3Phase,0,High(2.5m),,,7.92,6,513089,558754,Smart,OG
15,SMA0High(2.5m)10.56,SMA-3P-D10-6-A08-HR,On-Grid System / Poly Cells / High Rise Structure,SMA,3Phase,0,High(2.5m),,,10.56,8,670925,730637,Smart,OG
16,SMA0High(2.5m)13.21,SMA-3P-D13-2-A10-HR,On-Grid System / Poly Cells / High Rise Structure,SMA,3Phase,0,High(2.5m),,,13.21,10,825864,899366,Smart,OG
17,PRO0Low(0.3m)1.34,PRO-1P-D01-3-A01-LR,On-Grid System / Mono Cells / Low Rise Structure,PRO,1Phase,0,Low(0.3m),,,1.34,1,107200,116741,Pro,OG
18,PRO0Low(0.3m)2.67,PRO-1P-D02-7-A02-LR,On-Grid System / Mono Cells / Low Rise Structure,PRO,1Phase,0,Low(0.3m),,,2.67,2,213600,232610,Pro,OG
19,PRO0Low(0.3m)3.56,PRO-1P-D03-6-A03-LR,On-Grid System / Mono Cells / Low Rise Structure,PRO,1Phase,0,Low(0.3m),,,3.56,3,279508,304384,Pro,OG
20,PRO0Low(0.3m)5.34,PRO-1P-D05-3-A04-LR,On-Grid System / Mono Cells / Low Rise Structure,PRO,1Phase,0,Low(0.3m),,,5.34,4,400455,436096,Pro,OG
21,PRO0Low(0.3m)6.23,PRO-3P-D06-2-A05-LR,On-Grid System / Mono Cells / Low Rise Structure,PRO,3Phase,0,Low(0.3m),,,6.23,5,458856,499694,Pro,OG
22,PRO0Low(0.3m)8.01,PRO-3P-D08-0-A06-LR,On-Grid System / Mono Cells / Low Rise Structure,PRO,3Phase,0,Low(0.3m),,,8.01,6,572473,623423,Pro,OG
23,PRO0Low(0.3m)10.68,PRO-3P-D10-7-A08-LR,On-Grid System / Mono Cells / Low Rise Structure,PRO,3Phase,0,Low(0.3m),,,10.68,8,736610,802169,Pro,OG
24,PRO0Low(0.3m)13.35,PRO-3P-D13-4-A10-LR,On-Grid System / Mono Cells / Low Rise Structure,PRO,3Phase,0,Low(0.3m),,,13.35,10,894888,974533,Pro,OG
25,PRO0High(2.5m)1.34,PRO-1P-D01-3-A01-HR,On-Grid System / Mono Cells / High Rise Structure,PRO,1Phase,0,High(2.5m),,,1.34,1,119260,129874,Pro,OG
26,PRO0High(2.5m)2.67,PRO-1P-D02-7-A02-HR,On-Grid System / Mono Cells / High Rise Structure,PRO,1Phase,0,High(2.5m),,,2.67,2,237630,258779,Pro,OG
27,PRO0High(2.5m)3.56,PRO-1P-D03-6-A03-HR,On-Grid System / Mono Cells / High Rise Structure,PRO,1Phase,0,High(2.5m),,,3.56,3,311548,339276,Pro,OG
28,PRO0High(2.5m)5.34,PRO-1P-D05-3-A04-HR,On-Grid System / Mono Cells / High Rise Structure,PRO,1Phase,0,High(2.5m),,,5.34,4,448515,488433,Pro,OG
29,PRO0High(2.5m)6.23,PRO-3P-D06-2-A05-HR,On-Grid System / Mono Cells / High Rise Structure,PRO,3Phase,0,High(2.5m),,,6.23,5,514926,560755,Pro,OG
30,PRO0High(2.5m)8.01,PRO-3P-D08-0-A06-HR,On-Grid System / Mono Cells / High Rise Structure,PRO,3Phase,0,High(2.5m),,,8.01,6,644563,701929,Pro,OG
31,PRO0High(2.5m)10.68,PRO-3P-D10-7-A08-HR,On-Grid System / Mono Cells / High Rise Structure,PRO,3Phase,0,High(2.5m),,,10.68,8,832730,906843,Pro,OG
32,PRO0High(2.5m)13.35,PRO-3P-D13-4-A10-HR,On-Grid System / Mono Cells / High Rise Structure,PRO,3Phase,0,High(2.5m),,,13.35,10,1015038,1105376,Pro,OG
33,SEC4High(2.5m)1.98,SEC-1P-D02-0-A01-HR-4H,Hybrid System / Poly Cells / High Rise Structure,SEC,1Phase,4,High(2.5m),,,1.98,2,235848,256839,Secure,HYBRID
34,SEC4High(2.5m)3.96,SEC-1P-D04-0-A04-HR-4H,Hybrid System / Poly Cells / High Rise Structure,SEC,1Phase,4,High(2.5m),,,3.96,4,387795,422309,Secure,HYBRID
35,SEC4High(2.5m)5.28,SEC-3P-D05-3-A05-HR-4H,Hybrid System / Poly Cells / High Rise Structure,SEC,3Phase,4,High(2.5m),,,5.28,5,543096,591431,Secure,HYBRID
36,SEC4High(2.5m)6.61,SEC-3P-D06-6-A06-HR-4H,Hybrid System / Poly Cells / High Rise Structure,SEC,3Phase,4,High(2.5m),,,6.61,6,677100,737362,Secure,HYBRID
37,SEC4High(2.5m)7.92,SEC-3P-D07-9-A08-HR-4H,Hybrid System / Poly Cells / High Rise Structure,SEC,3Phase,4,High(2.5m),,,7.92,8,860813,937425,Secure,HYBRID
38,SEC4High(2.5m)10.56,SEC-3P-D10-6-A10-HR-4H,Hybrid System / Poly Cells / High Rise Structure,SEC,3Phase,4,High(2.5m),,,10.56,10,1154011,1256718,Secure,HYBRID
39,SEC4Low(0.3m)1.98,SEC-3P-D02-0-A01-LR-4H,Hybrid System / Poly Cells / Low Rise Structure,SEC,3Phase,4,Low(0.3m),,,1.98,2,218028,237433,Secure,HYBRID
40,SEC4Low(0.3m)3.96,SEC-3P-D04-0-A04-LR-4H,Hybrid System / Poly Cells / Low Rise Structure,SEC,3Phase,4,Low(0.3m),,,3.96,4,352155,383497,Secure,HYBRID
41,SEC4Low(0.3m)5.28,SEC-3P-D05-3-A05-LR-4H,Hybrid System / Poly Cells / Low Rise Structure,SEC,3Phase,4,Low(0.3m),,,5.28,5,495576,539682,Secure,HYBRID
42,SEC4Low(0.3m)6.61,SEC-3P-D06-6-A06-LR-4H,Hybrid System / Poly Cells / Low Rise Structure,SEC,3Phase,4,Low(0.3m),,,6.61,6,617700,672675,Secure,HYBRID
43,SEC4Low(0.3m)7.92,SEC-3P-D07-9-A08-LR-4H,Hybrid System / Poly Cells / Low Rise Structure,SEC,3Phase,4,Low(0.3m),,,7.92,8,789533,859801,Secure,HYBRID
44,SEC4Low(0.3m)10.56,SEC-3P-D10-6-A10-LR-4H,Hybrid System / Poly Cells / Low Rise Structure,SEC,3Phase,4,Low(0.3m),,,10.56,10,1058972,1153220,Secure,HYBRID
45,SEC6High(2.5m)1.98,SEC-3P-D02-0-A01-HR-6H,Hybrid System / Poly Cells / High Rise Structure,SEC,3Phase,6,High(2.5m),,,1.98,2,253563,276130,Secure,HYBRID
46,SEC6High(2.5m)3.96,SEC-3P-D04-0-A04-HR-6H,Hybrid System / Poly Cells / High Rise Structure,SEC,3Phase,6,High(2.5m),,,3.96,4,449510,489516,Secure,HYBRID
47,SEC6High(2.5m)5.28,SEC-3P-D05-3-A05-HR-6H,Hybrid System / Poly Cells / High Rise Structure,SEC,3Phase,6,High(2.5m),,,5.28,5,584239,636236,Secure,HYBRID
48,SEC6High(2.5m)6.61,SEC-3P-D06-6-A06-HR-6H,Hybrid System / Poly Cells / High Rise Structure,SEC,3Phase,6,High(2.5m),,,6.61,6,802815,874265,Secure,HYBRID
49,SEC6High(2.5m)7.92,SEC-3P-D07-9-A08-HR-6H,Hybrid System / Poly Cells / High Rise Structure,SEC,3Phase,6,High(2.5m),,,7.92,8,970813,1057215,Secure,HYBRID
50,SEC6High(2.5m)10.56,SEC-3P-D10-6-A10-HR-6H,Hybrid System / Poly Cells / High Rise Structure,SEC,3Phase,6,High(2.5m),,,10.56,10,1242582,1353172,Secure,HYBRID
51,SEC6Low(0.3m)1.98,SEC-3P-D02-0-A01-LR-6H,Hybrid System / Poly Cells / Low Rise Structure,SEC,3Phase,6,Low(0.3m),,,1.98,2,235743,256724,Secure,HYBRID
52,SEC6Low(0.3m)3.96,SEC-3P-D04-0-A04-LR-6H,Hybrid System / Poly Cells / Low Rise Structure,SEC,3Phase,6,Low(0.3m),,,3.96,4,413870,450704,Secure,HYBRID
53,SEC6Low(0.3m)5.28,SEC-3P-D05-3-A05-LR-6H,Hybrid System / Poly Cells / Low Rise Structure,SEC,3Phase,6,Low(0.3m),,,5.28,5,536718,584486,Secure,HYBRID
54,SEC6Low(0.3m)6.61,SEC-3P-D06-6-A06-LR-6H,Hybrid System / Poly Cells / Low Rise Structure,SEC,3Phase,6,Low(0.3m),,,6.61,6,743414,809578,Secure,HYBRID
55,SEC6Low(0.3m)7.92,SEC-3P-D07-9-A08-LR-6H,Hybrid System / Poly Cells / Low Rise Structure,SEC,3Phase,6,Low(0.3m),,,7.92,8,899533,979591,Secure,HYBRID
56,SEC6Low(0.3m)10.56,SEC-3P-D10-6-A10-LR-6H,Hybrid System / Poly Cells / Low Rise Structure,SEC,3Phase,6,Low(0.3m),,,10.56,10,1147543,1249674,Secure,HYBRID
57,SEC8High(2.5m)1.98,SEC-3P-D02-0-A01-HR-8H,Hybrid System / Poly Cells / High Rise Structure,SEC,3Phase,8,High(2.5m),,,1.98,2,315277,343337,Secure,HYBRID
58,SEC8High(2.5m)3.96,SEC-3P-D04-0-A04-HR-8H,Hybrid System / Poly Cells / High Rise Structure,SEC,3Phase,8,High(2.5m),,,3.96,4,528938,576014,Secure,HYBRID
59,SEC8High(2.5m)5.28,SEC-3P-D05-3-A05-HR-8H,Hybrid System / Poly Cells / High Rise Structure,SEC,3Phase,8,High(2.5m),,,5.28,5,709953,773139,Secure,HYBRID
60,SEC8High(2.5m)6.61,SEC-3P-D06-6-A06-HR-8H,Hybrid System / Poly Cells / High Rise Structure,SEC,3Phase,8,High(2.5m),,,6.61,6,878529,956718,Secure,HYBRID
61,SEC8High(2.5m)7.92,SEC-3P-D07-9-A08-HR-8H,Hybrid System / Poly Cells / High Rise Structure,SEC,3Phase,8,High(2.5m),,,7.92,8,1059385,1153670,Secure,HYBRID
62,SEC8High(2.5m)10.56,SEC-3P-D10-6-A10-HR-8H,Hybrid System / Poly Cells / High Rise Structure,SEC,3Phase,8,High(2.5m),,,10.56,10,1364011,1485408,Secure,HYBRID
63,SEC8Low(0.3m)1.98,SEC-3P-D02-0-A01-LR-8H,Hybrid System / Poly Cells / Low Rise Structure,SEC,3Phase,8,Low(0.3m),,,1.98,2,297457,323931,Secure,HYBRID
64,SEC8Low(0.3m)3.96,SEC-3P-D04-0-A04-LR-8H,Hybrid System / Poly Cells / Low Rise Structure,SEC,3Phase,8,Low(0.3m),,,3.96,4,493298,537202,Secure,HYBRID
65,SEC8Low(0.3m)5.28,SEC-3P-D05-3-A05-LR-8H,Hybrid System / Poly Cells / Low Rise Structure,SEC,3Phase,8,Low(0.3m),,,5.28,5,662433,721389,Secure,HYBRID
66,SEC8Low(0.3m)6.61,SEC-3P-D06-6-A06-LR-8H,Hybrid System / Poly Cells / Low Rise Structure,SEC,3Phase,8,Low(0.3m),,,6.61,6,819129,892031,Secure,HYBRID
67,SEC8Low(0.3m)7.92,SEC-3P-D07-9-A08-LR-8H,Hybrid System / Poly Cells / Low Rise Structure,SEC,3Phase,8,Low(0.3m),,,7.92,8,988105,1076046,Secure,HYBRID
68,SEC8Low(0.3m)10.56,SEC-3P-D10-6-A10-LR-8H,Hybrid System / Poly Cells / Low Rise Structure,SEC,3Phase,8,Low(0.3m),,,10.56,10,1268972,1381910,Secure,HYBRID
69,SEC10High(2.5m)1.98,SEC-3P-D02-0-A01-HR-10H,Hybrid System / Poly Cells / High Rise Structure,SEC,3Phase,10,High(2.5m),,,1.98,2,350706,381919,Secure,HYBRID
70,SEC10High(2.5m)3.96,SEC-3P-D04-0-A04-HR-10H,Hybrid System / Poly Cells / High Rise Structure,SEC,3Phase,10,High(2.5m),,,3.96,4,582081,633886,Secure,HYBRID
71,SEC10High(2.5m)5.28,SEC-3P-D05-3-A05-HR-10H,Hybrid System / Poly Cells / High Rise Structure,SEC,3Phase,10,High(2.5m),,,5.28,5,785667,855591,Secure,HYBRID
72,SEC10High(2.5m)6.61,SEC-3P-D06-6-A06-HR-10H,Hybrid System / Poly Cells / High Rise Structure,SEC,3Phase,10,High(2.5m),,,6.61,6,967100,1053172,Secure,HYBRID
73,SEC10High(2.5m)7.92,SEC-3P-D07-9-A08-HR-10H,Hybrid System / Poly Cells / High Rise Structure,SEC,3Phase,10,High(2.5m),,,7.92,8,1180813,1285905,Secure,HYBRID
74,SEC10High(2.5m)10.56,SEC-3P-D10-6-A10-HR-10H,Hybrid System / Poly Cells / High Rise Structure,SEC,3Phase,10,High(2.5m),,,10.56,10,1505440,1639424,Secure,HYBRID
75,SEC10Low(0.3m)1.98,SEC-3P-D02-0-A01-LR-10H,Hybrid System / Poly Cells / Low Rise Structure,SEC,3Phase,10,Low(0.3m),,,1.98,2,332886,362513,Secure,HYBRID
76,SEC10Low(0.3m)3.96,SEC-3P-D04-0-A04-LR-10H,Hybrid System / Poly Cells / Low Rise Structure,SEC,3Phase,10,Low(0.3m),,,3.96,4,546441,595074,Secure,HYBRID
77,SEC10Low(0.3m)5.28,SEC-3P-D05-3-A05-LR-10H,Hybrid System / Poly Cells / Low Rise Structure,SEC,3Phase,10,Low(0.3m),,,5.28,5,738147,803842,Secure,HYBRID
78,SEC10Low(0.3m)6.61,SEC-3P-D06-6-A06-LR-10H,Hybrid System / Poly Cells / Low Rise Structure,SEC,3Phase,10,Low(0.3m),,,6.61,6,907700,988485,Secure,HYBRID
79,SEC10Low(0.3m)7.92,SEC-3P-D07-9-A08-LR-10H,Hybrid System / Poly Cells / Low Rise Structure,SEC,3Phase,10,Low(0.3m),,,7.92,8,1109533,1208281,Secure,HYBRID
