ForPrd From,Cond Type,Main Cond ID,Sub Cond ID,Sub Cond ID2,Sub Cond Line ID,Line Text,Cond Value,Cond UOM,LowerValue,UpperValue
01-10-2021,residential,Andhra Pradesh,Southern Power Distribution Company of A.P Limited,,0,cnt,6,,,
,residential,Andhra Pradesh,Southern Power Distribution Company of A.P Limited,,1,defaultFixedCharge,50,Rupees,,
,residential,Andhra Pradesh,Southern Power Distribution Company of A.P Limited,,2,>840 to <=1550,((CondValue-840)/7.1)+200,,840,1550
,residential,Andhra Pradesh,Southern Power Distribution Company of A.P Limited,,3,>1550&&<=2345,((CondValue-1550)/7.95)+300,,1550,2345
,residential,Andhra Pradesh,Southern Power Distribution Company of A.P Limited,,4,>2345&&<=3195,((CondValue-2345)/8.5)+400,,2345,3195
,residential,Andhra Pradesh,Southern Power Distribution Company of A.P Limited,,5,>3195,((CondValue-3195)/9.95)+500,,3195,3195
,residential,Andhra Pradesh,Southern Power Distribution Company of A.P Limited,,6,Irradiance,1633.4,,,
,residential,Arunachal Pradesh,Department of Power Arunachal Pradesh,,0,cnt,3,,,
,residential,Arunachal Pradesh,Department of Power Arunachal Pradesh,,1,defaultFixedCharge,20,Rupees,,
,residential,Arunachal Pradesh,Department of Power Arunachal Pradesh,,2,>0,(CondValue/4.07),,0,0
,residential,Arunachal Pradesh,Department of Power Arunachal Pradesh,,3,Irradiance,1232.2,,,
,residential,Andaman & Nicobar,Electricity Department UT of Andaman & Nicobar,,0,cnt,4,,,
,residential,Andaman & Nicobar,Electricity Department UT of Andaman & Nicobar,,1,defaultFixedCharge,70,Rupees,,
,residential,Andaman & Nicobar,Electricity Department UT of Andaman & Nicobar,,2,>725&&<=2885,((CondValue-725)/7.2)+200,,725,2885
,residential,Andaman & Nicobar,Electricity Department UT of Andaman & Nicobar,,3,>2885,((CondValue-2885)/8.5)+500,,2885,2885
,residential,Andaman & Nicobar,Electricity Department UT of Andaman & Nicobar,,4,Irradiance,1454.7,,,
,residential,Assam,Assam Power Distribution Company Limited,,0,cnt,5,,,
,residential,Assam,Assam Power Distribution Company Limited,,1,defaultFixedCharge,250,Rupees,,
,residential,Assam,Assam Power Distribution Company Limited,,2,SanctionLoad,CondValue-(SanctionLoad*50),,,
,residential,Assam,Assam Power Distribution Company Limited,,3,>588&&<=1326,((CondValue-588)/6.15)+120,,588,1326
,residential,Assam,Assam Power Distribution Company Limited,,4,>1326,((CondValue-1326)/7.15)+240,,1326,1326
,residential,Assam,Assam Power Distribution Company Limited,,5,Irradiance,1599.7,,,
,residential,Bihar,Bihar Power Distribution Company,,0,cnt,4,,,
,residential,Bihar,Bihar Power Distribution Company,,1,defaultFixedCharge,200,Rupees,,
,residential,Bihar,Bihar Power Distribution Company,,2,>427&&<=939,((CondValue-427)/5.12)+100,,427,939
,residential,Bihar,Bihar Power Distribution Company,,3,>939,((CondValue-939)/6.22)+200,,939,939
,residential,Bihar,Bihar Power Distribution Company,,4,Irradiance,1503.4,,,
,residential,Chattisgarh,Chhattisgarh State Power Distribution Company,,0,cnt,5,,,
,residential,Chattisgarh,Chhattisgarh State Power Distribution Company,,1,defaultFixedCharge,120,Rupees,,
,residential,Chattisgarh,Chhattisgarh State Power Distribution Company,,2,>700&&<=1680,((CondValue-700)/4.9)+200,,700,1680
,residential,Chattisgarh,Chhattisgarh State Power Distribution Company,,3,>1680&&<=2780,((CondValue-1680)/5.5)+400,,1680,2780
,residential,Chattisgarh,Chhattisgarh State Power Distribution Company,,4,>2780,((CondValue-2780)/7.3)+600,,2780,2780
,residential,Chattisgarh,Chhattisgarh State Power Distribution Company,,5,Irradiance,1614.4,,,
,residential,Chandigarh,Electricity Department UT of Chandigarh,,0,cnt,4,,,
,residential,Chandigarh,Electricity Department UT of Chandigarh,,1,defaultFixedCharge,50,Rupees,,
,residential,Chandigarh,Electricity Department UT of Chandigarh,,2,>375&&<=1437.5,((CondValue-375)/4.25)+150,,375,1437.5
,residential,Chandigarh,Electricity Department UT of Chandigarh,,3,>1437.5,((CondValue-1437.5)/4.65)+400,,1437.5,1437.5
,residential,Chandigarh,Electricity Department UT of Chandigarh,,4,Irradiance,1671.9,,,
,residential,Daman and Diu,Electricity Department UT of Daman & Diu,,0,cnt,3,,,
,residential,Daman and Diu,Electricity Department UT of Daman & Diu,,1,defaultFixedCharge,45,Rupees,,
,residential,Daman and Diu,Electricity Department UT of Daman & Diu,,2,>840,((CondValue-840)/3)+400,,840,840
,residential,Daman and Diu,Electricity Department UT of Daman & Diu,,3,Irradiance,1593.9,,,
,residential,Delhi,New Delhi Municipal Corporation,,0,cnt,9,,,
,residential,Delhi,New Delhi Municipal Corporation,,1,defaultFixedCharge,250,Rupees,,
,residential,Delhi,New Delhi Municipal Corporation,,2,Tax,0.3,,,
,residential,Delhi,New Delhi Municipal Corporation,,3,SanctionLoad<=5,CondValue-(SanctionLoad*50),,,
,residential,Delhi,New Delhi Municipal Corporation,,4,SanctionLoad>5,CondValue-(SanctionLoad*100),,,
,residential,Delhi,New Delhi Municipal Corporation,,5,>600&&<=1500,((CondValue-600)/4.5)+200,,600,1500
,residential,Delhi,New Delhi Municipal Corporation,,6,>1500&&<=4100,((CondValue-1500)/6.5)+400,,1500,4100
,residential,Delhi,New Delhi Municipal Corporation,,7,>4100&&<=6900,((CondValue-4100)/7)+800,,4100,6900
,residential,Delhi,New Delhi Municipal Corporation,,8,>6900,((CondValue-6900)/8)+1200,,6900,6900
,residential,Delhi,New Delhi Municipal Corporation,,9,Irradiance,1813.4,,,
,residential,Goa,Electricity Department Government of Goa,,0,cnt,4,,,
,residential,Goa,Electricity Department Government of Goa,,1,defaultFixedCharge,65,Rupees,,
,residential,Goa,Electricity Department Government of Goa,,2,>660&&<=1025,((CondValue-660)/3.65)+300,,660,1025
,residential,Goa,Electricity Department Government of Goa,,3,>1025,((CondValue-1025)/4.25)+400,,1025,1025
,residential,Goa,Electricity Department Government of Goa,,4,Irradiance,1635.3,,,
,residential,Gujarat,Gujarat Vij Company Limited,,0,cnt,5,,,
,residential,Gujarat,Gujarat Vij Company Limited,,1,defaultFixedCharge,45,Rupees,,
,residential,Gujarat,Gujarat Vij Company Limited,,2,Tax,0.15,,,
,residential,Gujarat,Gujarat Vij Company Limited,,3,>517.5&&<=1425,((CondValue-517.5)/6.05)+100,,517.5,1425
,residential,Gujarat,Gujarat Vij Company Limited,,4,>1425,((CondValue-1425)/7.1)+250,,1425,1425
,residential,Gujarat,Gujarat Vij Company Limited,,5,Irradiance,1675.6,,,
,residential,Gujarat,Gujarat Torrent Power,AHMEDABAD,0,cnt,4,,,
,residential,Gujarat,Gujarat Torrent Power,AHMEDABAD,1,defaultFixedCharge,110,Rupees,,
,residential,Gujarat,Gujarat Torrent Power,AHMEDABAD,2,<=1174.5,((CondValue-265.5)/6.06)+50,,0,1174.5
,residential,Gujarat,Gujarat Torrent Power,AHMEDABAD,3,>1174.5,((CondValue-1174.5)/7.11)+200,,1174.5,1174.5
,residential,Gujarat,Gujarat Torrent Power,AHMEDABAD,4,Irradiance,1675.6,,,
